title,setup,punchline,category,rating,score,words
LOVE ON CREDIT,"A man takes a job far from home. After a month, he writes his wife: ""I have to stay longer. I can't send money, so I'm sending one hundred big kisses."" Five months later he returns. ""How did you survive with no money?"" ""Thanks to your kisses. Ten went to the baker, ten to the butcher, and fifty to the landlord."" ""That's only seventy. What happened to the other thirty?""","She smiles. ""The landlord said fifty wasn't enough, so we made another arrangement. Now he owes me kisses.""",work,tout_public,,88
COLD EVIDENCE,"Two women meet in heaven. ""How did you die?"" ""I was sure my husband was cheating. I searched the bathroom, bedroom, living room, and basement. I ran so hard I had a heart attack.""","The other woman sighs. ""If you'd opened the freezer first, we'd both still be alive.""",work,adulte,,49
TRUTH HURTS,"A father brings home a lie-detecting robot. His teenage son arrives two hours late. ""Where were you?"" ""At the library."" The robot slaps him. ""Fine---I watched a movie at a friend's house. The Ten Commandments."" The robot slaps him again. ""Okay! It was an adult movie."" The father says, ""At your age, I never lied to my parents."" The robot slaps the father. The mother laughs. ""He really is your son.""",The robot slaps the mother.,kids,adulte,,76
TRAFFIC IN HEAVEN,"Three husbands arrive in heaven. St. Peter gives each a car based on his faithfulness: a compact to the first, a sedan to the second, and a Lamborghini to the man who never cheated. Hours later, the compact-car driver finds the Lamborghini owner crying beside the road. ""What's wrong?""","""I just saw my wife go by on a bicycle.""",marriage,adulte,,59
THE ATTIC BOX,"Near the end of her life, Grandma tells Grandpa about a box in the attic. Inside are three eggs and \$150,000. ""Every time I didn't have an orgasm with you during our fifty years together, I put an egg in the box,"" she explains. Grandpa beams. ""Only three eggs in fifty years! But where did all the money come from?""","""Whenever I had a dozen, I sold them at the market.""",work,tout_public,,71
PROFESSIONAL COURTESY,What's the difference between a prostitute and a lawyer?,The prostitute stops fucking you after you're dead.,misc,tout_public,,17
RUNNING LATE,"A woman is preparing dinner for her parents and sends her husband out to buy fresh snails. He buys the snails, then stops at the pub for one quick drink. One drink leads to another. By the time he leaves, it is nine in the evening. Realizing how late he is, the husband races home, scatters the snails along the path to the house, and rings the bell. His furious wife opens the door. ""Where the hell have you been?"" she screams.","The husband gestures toward the snails. ""Come on, lads!"" he shouts. ""We\'re almost there!""",marriage,tout_public,,96
A HUNTING STORY,"A man tells his doctor, ""My girlfriend is pregnant, but we always use protection, and the condom never broke. How is that possible?"" The doctor says, ""Let me tell you a story. A hunter always carried a gun wherever he went. One day, he accidentally took an umbrella instead. A lion suddenly leaped in front of him. The hunter pointed the umbrella like a gun, pulled the imaginary trigger, and the lion dropped dead."" The man scoffs. ""Nonsense! Someone else must have shot the lion.""","The doctor nods. ""Good. You understand. Next patient, please.""",medical,adulte,,94
A FINANCIAL RETURN,"My girlfriend borrowed \$100 from me. Three years later, when we separated, she returned exactly \$100.",I lost interest in that relationship.,work,tout_public,,22
A BIRTHDAY SURPRISE,"A wife takes her husband, Dave, to a strip club for his birthday. At the door, the bouncer says, ""Hey, Dave! How\'re you doing?"" His wife looks suspicious. Dave explains, ""He\'s on my bowling team."" Inside, a waitress brings Dave his usual Budweiser. ""She\'s in the ladies\' bowling league,"" he says. ""We share lanes."" Then a stripper throws her arms around him. ""Hi, Davey! Want your usual table dance, big boy?"" His wife storms outside and jumps into a cab. Dave follows, desperately insisting that the stripper confused him with someone else. His wife screams every insult she knows.","The cabdriver looks in the mirror and says, ""Looks like you picked up a real bitch tonight, Dave.""",marriage,adulte,,117
